ClientID,Product-Type-A,Product-Type-B,Product-Type-C,Longitude,Latitude
41,12,5,10,-74.14527081040785,4.629147702157955
42,12,4,8,-74.07816484641232,4.737958109537329
43,12,7,10,-74.12325745879106,4.741007381882208
44,11,6,10,-74.11422802407147,4.561058065542656
45,12,3,9,-74.04735268890623,4.75548450181956
46,12,2,10,-74.17025064216372,4.640875635025107
47,12,8,10,-74.08381355163851,4.55276802798348
48,10,4,2,-74.09101195861147,4.517741431590437
49,11,10,4,-74.1432330209747,4.688378392126892
50,12,6,6,-74.10958404212364,4.630751047231506
51,12,4,8,-74.04601457450164,4.758423271400385
52,12,2,1,-74.10976526569736,4.664629188797562
53,8,2,9,-74.12180322289971,4.652718035480543
54,12,8,5,-74.0759053734627,4.568311065834471
55,12,6,7,-74.09324751195933,4.735220510341381
56,10,1,2,-74.15206452250675,4.601699745530494
57,12,6,10,-74.04653852664053,4.722972474725128
58,12,9,10,-74.07557135385481,4.685520052186599
59,12,7,10,-74.11064211657344,4.642554069447642
60,12,3,4,-74.17533055281734,4.610947471085194
61,12,6,2,-74.07585933192209,4.681062919901673
62,12,10,10,-74.06948452301401,4.663551865741294
63,12,9,10,-74.15178675580488,4.5608485037099324
64,8,7,1,-74.10748587513456,4.623340336875491
65,12,6,1,-74.14250311158337,4.614900142246311
66,12,7,8,-74.10963657169076,4.550485995986636
67,12,8,8,-74.13992889567841,4.548344869230176
68,12,8,7,-74.08137176065831,4.697275611443845
69,7,2,1,-74.07712632673578,4.640176050092644
70,12,1,6,-74.11214483335007,4.758806261471923
71,12,5,8,-74.12510313801157,4.743926491861074
72,12,4,1,-74.12659718027376,4.698462010858015
73,12,7,3,-74.04319372224562,4.665281812821437
74,6,4,3,-74.13957736007205,4.609647165398143
75,12,4,2,-74.14766586833595,4.671107323959203
76,8,5,1,-74.12993162055261,4.637429261562635
77,12,7,10,-74.09860117339717,4.686022254188059
78,12,3,6,-74.10572159490506,4.5742474212591695
79,12,9,4,-74.10742443385782,4.697240475601472
80,12,5,2,-74.11632589517049,4.660135588563131
81,12,4,10,-74.03196099219514,4.7320404722227405
82,10,4,10,-74.14861325111615,4.63914999201148
83,11,6,1,-74.13558037579436,4.559307584639852
84,12,2,10,-74.07469163944397,4.700146845779666
85,12,4,4,-74.06751448736455,4.616037313695953
86,11,1,10,-74.08023034913452,4.694467048641915
87,12,7,4,-74.13442513155859,4.612097889769096
88,12,8,6,-74.15379221943685,4.722376099859446
89,12,1,8,-74.05054268234534,4.735439502844692
90,12,10,6,-74.13957673032611,4.642777048319183
91,12,4,4,-74.0774864379935,4.642242805747258
92,12,6,10,-74.08113983677966,4.6240110349561805
93,12,6,2,-74.0765228028344,4.615895048608056
94,10,9,6,-74.17895164586074,4.605228384067991
95,11,7,8,-74.07064759011129,4.719707610186515
96,12,7,4,-74.08483774860282,4.561057982643858
97,11,4,2,-74.1178571295874,4.5458010858572
98,12,2,5,-74.09263686757467,4.5359516591448505
99,12,2,2,-74.14471629249334,4.614210181857972
100,12,4,6,-74.1065420424663,4.723565850976544
101,12,8,3,-74.10563353710641,4.709270762755583
102,12,5,9,-74.09293519645978,4.623247629744706
103,12,1,10,-74.12082941507668,4.610115014313596
104,12,6,3,-74.07868249005439,4.69108134619668
105,12,6,3,-74.10497822975103,4.546919167053458
106,12,8,9,-74.1347784108435,4.721733086361285
107,8,7,10,-74.11635899726878,4.731962478095968
108,12,2,9,-74.16553086817096,4.668698733708667
109,12,5,8,-74.11315043822019,4.591240321631367
110,12,6,6,-74.12777042572456,4.614759720835626
111,12,6,2,-74.12586840758183,4.708792633892448
112,12,7,9,-74.14397097803757,4.576559126889144
113,12,3,5,-74.10787927585581,4.6388913853759774
114,12,4,6,-74.14866484784798,4.61921985050586
115,12,4,8,-74.1246809043591,4.578988121207313
116,12,4,5,-74.10926566447318,4.618275577307082
117,12,6,2,-74.13542470986684,4.715562128535921
118,12,8,2,-74.11878984965118,4.580536407106048
119,12,3,2,-74.10519579216454,4.615047294398036
120,12,6,9,-74.10648275275496,4.673469881027055
121,11,1,4,-74.12646756318662,4.581632044921285
122,12,5,2,-74.1448911998146,4.5933930427784695
123,12,8,10,-74.0719807054993,4.635328626392631
124,12,6,1,-74.12373512507905,4.617365486847824
125,12,4,2,-74.09670246986835,4.608956953543666
126,12,4,4,-74.10507006048697,4.705670857095777
127,12,4,8,-74.04294513794518,4.800627707096771
128,12,4,10,-74.05069917163682,4.756091462084396
129,12,9,2,-74.10897386846895,4.535307825505146
130,12,5,5,-74.11041963271083,4.5355293433306825
131,12,8,6,-74.1002923656986,4.610201693582464
132,12,2,6,-74.12496472807256,4.650606762382063
133,12,4,5,-74.15442517107414,4.719794687471808
134,12,3,7,-74.0714631894051,4.646437264288228
135,7,4,8,-74.04947743166966,4.745474114924463
136,12,1,1,-74.13504911504758,4.725998172807629
137,12,9,10,-74.0787316711712,4.684032967830647
138,10,9,9,-74.10676924820575,4.588265485263288
139,12,4,10,-74.11029951961706,4.657406454494583
140,12,4,10,-74.12027878852273,4.627737253901785
141,12,4,3,-74.11088213493244,4.579416039387605
142,9,5,10,-74.05783638903675,4.733179944929914
143,12,4,10,-74.11127142393049,4.639400592480638
144,12,4,7,-74.0783056226776,4.725962194328812
145,12,5,10,-74.14805915772224,4.634581182213364
146,12,2,4,-74.11967131664802,4.611986185096826
147,9,4,9,-74.1392815114903,4.574281564227822
148,12,1,10,-74.05384988603285,4.7340713558064405
149,12,3,10,-74.10798186158421,4.623087514965705
150,12,5,5,-74.09320602526638,4.529338301302876
151,12,8,6,-74.05540132262074,4.765320616034717
152,9,7,10,-74.12629518045411,4.593994486395947
153,12,6,10,-74.06760358827017,4.75735020997599
154,12,3,9,-74.12030404315179,4.720886134664712
155,10,6,9,-74.04059137866244,4.751788953196675
156,12,10,10,-74.0597437747451,4.735476599674828
157,12,5,10,-74.06033905675763,4.691857066630797
158,12,5,8,-74.07046766897936,4.647897669472537
159,12,5,4,-74.1178600674063,4.587121631974926
160,12,8,4,-74.05036318683302,4.674675136937228
161,12,6,7,-74.08513867040247,4.598665193409369
162,8,4,9,-74.11887954170207,4.5541456098919
163,12,6,1,-74.07211915176322,4.726518921411916
164,12,7,1,-74.17777322875688,4.612533858510748
165,9,1,2,-74.15989486911256,4.590741426774894
166,12,5,10,-74.0648518695692,4.7054467556905
167,9,5,3,-74.04850750639365,4.776928436525959
168,8,1,2,-74.08710553928061,4.623100335093325
169,6,5,7,-74.0901755875572,4.545570322835291
170,12,7,6,-74.06603639502653,4.666574214092327
171,7,6,10,-74.13721161608836,4.608624645608778
172,12,5,9,-74.12874122233146,4.611056746538443
173,12,5,8,-74.11871012981918,4.685329328734922
174,12,3,9,-74.06728177833422,4.810416601491348
175,12,4,9,-74.16160196539693,4.651254072054494
176,12,2,3,-74.0233238858768,4.759386338375295
177,9,3,10,-74.08854218820962,4.716425926253557
178,12,8,5,-74.09917120466427,4.623470458131326
179,9,7,8,-74.16145801435718,4.578400885868123
180,12,4,5,-74.13974641102017,4.606276724897144
181,12,7,1,-74.12120570966252,4.641413723505214
182,12,10,5,-74.06505687019268,4.755336205474557
183,12,6,9,-74.02135191722974,4.765933128277578
184,6,6,4,-74.13793611305292,4.562933591868321
185,12,8,2,-74.10940289961282,4.678580483053818
186,12,6,3,-74.13567932486612,4.608657966496947
187,12,5,8,-74.02991316817545,4.703035101424015
188,12,4,3,-74.0636056089444,4.757065262018407
189,12,9,10,-74.15781630609398,4.672882448642594
190,12,6,10,-74.13385984629485,4.647170741352786
191,12,4,1,-74.12628146491143,4.673788975764931
192,12,6,10,-74.10291110321715,4.638279262004566
193,12,2,5,-74.09954215630533,4.747602329650544
194,7,6,5,-74.15778563991779,4.651249666026098
195,12,5,3,-74.09260800991157,4.548580828757192
196,12,7,1,-74.09903128673689,4.582485968574744
197,12,4,1,-74.04376399693975,4.6864936701287165
198,12,9,3,-74.13638649590953,4.646579045051635
199,12,5,8,-74.12911924885742,4.703533903655911
200,10,3,1,-74.10145881258053,4.549376290832149
201,12,2,4,-74.1153699733119,4.697851021034497
202,12,6,1,-74.10706913522651,4.704643090866256
203,12,2,4,-74.09703876266711,4.551650670400844
204,12,4,9,-74.10709831173945,4.665843490009866
205,12,2,10,-74.14277092650207,4.539368953971327
206,12,4,10,-74.12122548233572,4.519688676723418
207,6,5,9,-74.06911567455886,4.748071508141237
208,9,7,6,-74.09887736106234,4.629014413025787
209,12,9,1,-74.11175226763365,4.6340661837411625
210,12,10,8,-74.07353459881222,4.698039437462936
211,12,4,10,-74.0475950292155,4.776926462963665
212,12,8,9,-74.08223986564356,4.709642864441549
213,12,1,9,-74.07252566580092,4.799951173892333
214,7,3,3,-74.10006906418808,4.559457295715338
215,12,7,10,-74.0745970622124,4.650338652346614
216,12,1,5,-74.10978846071141,4.6345566269303
217,12,6,1,-74.0419112729826,4.6896805963616535
218,9,4,4,-74.11947225451904,4.672716631413526
219,12,8,6,-74.19941661106593,4.63274005758865
220,8,5,10,-74.04969039596672,4.69938538207002
221,12,7,5,-74.11325256948649,4.569224338887649
222,12,6,4,-74.11124677056935,4.752503544916773
223,12,6,10,-74.16667560676598,4.61806049428223
224,12,10,10,-74.09768796397421,4.616398377965078
225,12,4,9,-74.12221584104906,4.578961708486574
226,6,6,10,-74.16550775772615,4.649053478252299
227,12,6,8,-74.06437912612384,4.663366645882111
228,12,10,6,-74.03256624741066,4.6884203287914215
229,11,3,6,-74.09951805887741,4.653910358982846
230,12,4,2,-74.17247307613293,4.625506400184991
231,12,6,10,-74.08796520349904,4.622605993378081
232,12,7,1,-74.0796360401433,4.696840194925993
233,12,8,9,-74.11955727497399,4.609791498464625
234,12,4,5,-74.13638211417494,4.604443258896255
235,12,4,8,-74.06910776186925,4.561731055618311
236,12,7,10,-74.12383434750241,4.710200192895407
237,11,7,7,-74.15530993454968,4.668405464363828
238,9,4,5,-74.08159222228812,4.671543655841418
239,11,8,1,-74.04675657495234,4.757773284703239
240,12,5,2,-74.12527761802883,4.656092239700998
241,12,7,7,-74.10281910184122,4.587388960523862
242,12,4,6,-74.08077135989399,4.757850377631949
243,12,7,6,-74.11266785634236,4.580593086219341
244,12,10,3,-74.06152209439148,4.693826780564765
245,12,4,4,-74.10409054290515,4.6765804103922335
246,12,7,10,-74.10383940679833,4.668589794004289
247,12,3,1,-74.13395028808048,4.615504883045352
248,12,5,2,-74.09778412535807,4.619276104667296
249,12,5,1,-74.10964000400956,4.550619122542577
250,12,3,10,-74.08393543701393,4.501960333334924
251,12,5,8,-74.11432168488768,4.698518001113835
252,9,10,10,-74.16772557232032,4.618202493559112
253,12,7,10,-74.0999932699483,4.66218093542
254,12,5,5,-74.1255057187483,4.652414136474036
255,12,4,1,-74.14363924161965,4.580503657331675
256,12,8,7,-74.09909002602889,4.723876588949925
257,12,7,6,-74.08597417048797,4.682896172552256
258,12,6,10,-74.09265983368965,4.58537834509645
259,12,1,6,-74.1527089898303,4.668557219447226
260,12,8,10,-74.02921951041556,4.71497716349394
261,12,8,9,-74.059415115926,4.735500911209549
262,12,10,10,-74.15947424719849,4.613366595238453
263,12,7,9,-74.06659718763429,4.683136835653053
264,12,1,10,-74.15962671874705,4.692548012294957
265,12,7,1,-74.11594835558691,4.6983415516909455
266,10,3,1,-74.09569399055187,4.548970455365315
267,12,4,10,-74.12291714496955,4.6579155526364096
268,12,10,5,-74.09494823541381,4.567480366171619
269,12,5,10,-74.09504460613988,4.586785817297726
270,12,5,4,-74.11843598266356,4.609991677155215
271,12,6,7,-74.10576067520962,4.696610721128738
272,12,8,4,-74.09943790765332,4.665650313433868
273,12,2,9,-74.08914909892157,4.624830921375545
274,8,6,3,-74.0644182309779,4.694257277271802
275,12,9,5,-74.10208817431368,4.594298880835489
276,12,2,1,-74.07094999668003,4.72460523666956
277,12,4,10,-74.03157412001553,4.749288423554895
278,12,6,6,-74.02911535636126,4.769309826401679
279,12,6,9,-74.16238490863549,4.611943081035241
280,12,7,4,-74.12576580054423,4.6492899354827415
281,12,9,3,-74.09557372069698,4.775731551073407
282,12,2,9,-74.17167776338367,4.647804365152496
283,11,5,3,-74.100035247045,4.566359294098224
284,12,6,2,-74.18416952281973,4.605185499533211
285,12,4,10,-74.08839706279115,4.74502174569834
286,12,4,7,-74.0946700323191,4.652850001607107
287,12,5,1,-74.0684228512229,4.669151715146302
288,12,4,5,-74.09916093568427,4.570282453039329
289,12,1,5,-74.10898120273373,4.724916315347365
290,11,8,5,-74.0675586640136,4.746329370109785
291,9,2,4,-74.11824091651255,4.620965253985222
292,12,1,3,-74.12118245601826,4.650695697425713
293,10,6,10,-74.05893613091645,4.72916810180319
294,11,3,3,-74.04352506644415,4.737062032418259
295,12,1,1,-74.11830082004309,4.654414386063388
296,7,7,6,-74.13134953603024,4.678972461101624
297,12,7,6,-74.10830705989585,4.533094215709573
298,12,8,6,-74.144264549497,4.634921311142614
299,11,4,9,-74.1056805326868,4.697331849261605
300,12,6,8,-74.12632998315864,4.705618667685797
301,10,4,10,-74.12486379038732,4.594553028986906
302,12,3,6,-74.06414616180062,4.708067902332885
303,7,4,7,-74.14671946271113,4.646332630094119
304,12,6,1,-74.15123806814934,4.542814320624426
305,11,7,1,-74.17067987104252,4.568610858899779
306,10,6,3,-74.1403124538546,4.594822380936457
307,12,5,1,-74.13517966263113,4.677124022124585
308,12,7,9,-74.02388234899823,4.7413931319244735
309,12,2,10,-74.11400911965222,4.598536300381546
310,12,9,9,-74.04465345176702,4.703795308378031
311,12,6,2,-74.0313867099756,4.770573695130799
312,12,5,9,-74.10869828057349,4.716222098759183
313,12,2,2,-74.07460012343459,4.717591935231179
314,12,5,5,-74.0623743373682,4.663620725987702
315,12,5,3,-74.1068955767512,4.7524943616950175
316,12,3,7,-74.08824083952867,4.626894365579682
317,12,3,10,-74.06906811009473,4.763196962003625
318,12,3,7,-74.16949336422137,4.617687174821782
319,10,2,6,-74.08118136403286,4.6730911025266
320,12,4,2,-74.10936563500358,4.536075045972321
321,12,2,9,-74.14074880406498,4.710697451893128
322,12,1,2,-74.04225823815368,4.718640991036469
323,12,2,4,-74.1105273700843,4.678481163453084
324,12,3,3,-74.1329373484388,4.654072867456058
325,12,3,4,-74.13687913582754,4.583441432565013
326,12,1,10,-74.07290601463174,4.67694648569993
327,12,5,10,-74.09239850376244,4.5873726932316
328,12,5,8,-74.12540447466915,4.567004754265613
329,8,5,9,-74.11244042132587,4.6632030201778605
330,10,8,10,-74.06629134192534,4.670975773427194
331,12,5,10,-74.10720796848055,4.667856461035286
332,12,8,10,-74.03613631089294,4.697729891781525
333,12,1,7,-74.0508718970718,4.756887023201605
334,12,6,8,-74.17020528301772,4.630229220208387
335,12,7,9,-74.1525433899515,4.581029225988626
336,10,9,10,-74.12210026008962,4.683353123307413
337,11,5,1,-74.12017413770364,4.652061287705888
338,12,6,10,-74.08522734657771,4.735671981327458
339,12,2,10,-74.1298456243788,4.580376308162731
340,8,5,8,-74.10001040323169,4.634841648658521
341,12,8,2,-74.16255504936333,4.697844785923565
342,12,4,10,-74.05653088768939,4.72680572975777
343,12,2,5,-74.11142559311992,4.664403490695529
344,10,5,4,-74.11417048266993,4.742211647335609
345,9,5,6,-74.15560444230323,4.654001592565902
346,11,9,9,-74.08883478893364,4.521599852224987
347,12,5,2,-74.18021190405773,4.629786335933673
348,12,6,1,-74.0670487144833,4.661937169635527
349,8,3,7,-74.12020373388846,4.530344705086333
350,12,1,10,-74.12398174727568,4.704238643764996
351,12,5,6,-74.09169510293863,4.616687171596248
352,9,5,1,-74.14716438522538,4.560472230513509
353,12,5,8,-74.10965653619584,4.631686990144871
354,12,3,4,-74.10853849153342,4.678089080028554
355,12,7,8,-74.11828867122253,4.69607318513379
356,12,7,5,-74.13890335940013,4.619546973678499
357,8,1,5,-74.10772394883315,4.744444734367553
358,12,8,9,-74.11118585745596,4.557826501418124
359,12,7,1,-74.14540692395508,4.715959275749988
360,12,7,4,-74.07030714030533,4.635343766620792
361,8,4,8,-74.11575695730261,4.627516922484903
362,12,6,7,-74.13780057707645,4.543863001541785
363,12,7,10,-74.07944043859393,4.7221439262497205
364,12,3,10,-74.0889594131565,4.691310536633705
365,12,5,9,-74.093810353651,4.736457962803327
366,12,5,5,-74.13439512608353,4.597676286633149
367,12,5,1,-74.10229748933354,4.728359344143535
368,12,5,10,-74.04353377063974,4.666692834019226
369,12,2,3,-74.09125326859508,4.621614863983837
370,12,6,7,-74.0308782987258,4.698984539185986
371,12,3,10,-74.07464442129178,4.738919196814402
372,12,7,10,-74.07105195831105,4.590181319093438
373,12,8,7,-74.16039006558117,4.658997801747043
374,12,10,10,-74.20323671627001,4.609845162656957
375,12,3,2,-74.1098209991575,4.621213270823677
376,10,9,10,-74.03977689522665,4.703576076946264
377,12,4,9,-74.15908578818339,4.645113322234995
378,12,10,6,-74.21338814153938,4.632706356020065
379,12,2,9,-74.12944020799613,4.723235449363482
380,10,3,6,-74.11846439447571,4.607600925099163
381,12,3,10,-74.13821804943638,4.607680941104545
382,12,8,6,-74.02996942116664,4.752111046048876
383,8,3,3,-74.11331638942853,4.6741957687917495
384,12,2,4,-74.13798588739031,4.6183532450451885
385,9,4,5,-74.09266475190422,4.765348561810486
386,12,9,5,-74.07821439842606,4.534861049000712
387,11,4,5,-74.17221514670572,4.634703363900007
388,12,3,3,-74.07822116756839,4.640918472319211
389,12,7,4,-74.16920813685171,4.609416336010246
390,12,8,10,-74.0573210583887,4.662712266608052
391,12,2,7,-74.11587152297564,4.723683449564738
392,12,5,10,-74.03845786136515,4.715086025333733
393,11,1,8,-74.09812549350704,4.568187575744965
394,12,3,10,-74.12250101359426,4.675226772495721
395,12,6,2,-74.12595513399121,4.651906460953135
396,12,3,1,-74.09805811542081,4.614123449210673
397,12,6,1,-74.10039941018027,4.628567463569415
398,12,7,8,-74.04658526072653,4.756846561046786
399,7,6,7,-74.0931995684873,4.6074964026399705
400,12,5,7,-74.05858122929178,4.692760408007474
401,12,3,9,-74.11100646260078,4.617114425550292
402,12,5,10,-74.04236499702881,4.700646882050464
403,12,4,10,-74.09305158932636,4.6169099037956345
404,12,7,3,-74.08892354963362,4.730017286160835
405,12,6,8,-74.14333433708778,4.688580850025263
406,12,7,5,-74.1636487911394,4.620452270992006
407,12,3,5,-74.1216891450392,4.594717030916909
408,12,7,7,-74.10190609313264,4.701739931551758
409,11,9,7,-74.12477312920784,4.649957464469676
410,12,6,4,-74.06218146372858,4.757696000689528
411,12,8,1,-74.11847851449595,4.714476235022705
412,12,5,2,-74.06432664168877,4.747057632958328
413,12,10,9,-74.0453681241845,4.738765233870185
414,8,2,10,-74.14607892869846,4.5922017392344685
415,8,4,8,-74.09313853322949,4.599372329745694
416,12,4,9,-74.14755914348753,4.713673653988295
417,11,3,4,-74.11184040987227,4.535121954893712
418,12,3,10,-74.06573267683605,4.702909298908263
419,12,7,10,-74.05753499258836,4.738075131669801
420,12,5,1,-74.13377522064721,4.6005782480519954
421,12,5,2,-74.11082789027684,4.679689224856842
422,12,9,10,-74.10377947753574,4.70631057364896
423,9,2,6,-74.13142265408412,4.6711442737118825
424,12,3,1,-74.09627589819303,4.579205910112441
425,12,2,10,-74.11903953639188,4.749416019556427
426,9,3,6,-74.0909329167814,4.691639830878552
427,12,5,5,-74.10075865586968,4.744433061334616
428,12,3,10,-74.06796513017044,4.581326966224917
429,12,8,1,-74.10162642351197,4.620821508967858
430,12,6,10,-74.14846257484929,4.622322063717354
431,12,4,2,-74.08978980656461,4.531866177164879
432,12,3,1,-74.07701814555797,4.594338508335507
433,12,7,7,-74.1178582981089,4.550427576604255
434,12,6,8,-74.09963605078428,4.649438114665877
435,12,4,3,-74.10702620556297,4.687071437351471
436,12,4,4,-74.11494555741871,4.75510576528697
437,12,4,10,-74.07920951245886,4.64258491373494
438,7,4,1,-74.13991387419112,4.615193018155323
439,12,6,7,-74.10038688037336,4.63300450804013
440,12,5,3,-74.14129600050623,4.575868832511938
441,12,7,10,-74.11985643286285,4.594707255291324
442,8,1,5,-74.12062603578663,4.584698116842817
443,6,2,2,-74.14469903873268,4.626245106706807
444,12,6,4,-74.10430077123607,4.548589498429041
445,12,9,5,-74.11076507339251,4.66941660103296
446,12,2,4,-74.05930347787972,4.745216758377982
447,12,10,10,-74.1241250647533,4.569120672815451
448,12,6,10,-74.09116814373589,4.568345037366647
449,12,7,10,-74.03063016832614,4.686667060294817
450,10,8,2,-74.07891933229365,4.748826421788087
451,12,5,1,-74.1239432373086,4.650454605801786
452,9,4,3,-74.10590260249026,4.721047270909727
453,12,4,8,-74.06953812194539,4.733736514000963
454,11,4,7,-74.15933896919388,4.583456508932477
455,12,5,2,-74.14734572530719,4.609542744403621
456,12,8,10,-74.11519427336714,4.653338883277622
457,12,1,4,-74.11688222322714,4.656219962801796
458,12,1,6,-74.07684546297881,4.572587963989622
459,9,5,9,-74.06279769656238,4.72744462558506
460,12,1,10,-74.05040811439787,4.799969797407346
461,12,7,8,-74.14412506427703,4.648945771013424
462,12,6,2,-74.05143846312414,4.711484889484403
463,12,6,5,-74.0941620037484,4.568661441331123
464,9,7,10,-74.1479552125237,4.553714248589332
465,10,2,2,-74.08014883524808,4.567171822482206
466,7,2,3,-74.08162854422513,4.711697826503735
467,12,5,1,-74.15141866535893,4.719883738112071
468,12,1,8,-74.09100481031278,4.64769560043405
469,12,2,3,-74.10232020681686,4.648970100701176
470,12,8,6,-74.07599996088604,4.805925923593377
471,9,4,10,-74.07508029028968,4.623284957815127
472,12,1,10,-74.08033028407512,4.714091573968957
473,12,6,5,-74.11346824342431,4.495777991636797
474,11,6,5,-74.08998518561874,4.7773885820174735
475,12,5,4,-74.13047579180754,4.668515396330326
476,12,5,6,-74.09499221846711,4.540923472826482
477,12,6,7,-74.05755884103058,4.737368259365073
478,9,9,10,-74.15068350443691,4.535916297112005
479,12,6,2,-74.11463034594273,4.674537728364486
480,12,2,2,-74.1251188148323,4.65014697430049
481,12,2,3,-74.12497421245769,4.715521780930579
482,12,6,2,-74.06589878723118,4.56492258685612
483,12,5,7,-74.19487316217703,4.613376527023497
484,12,5,7,-74.08424261739741,4.666134243589125
485,12,2,3,-74.1283680646639,4.637337831873578
486,12,8,5,-74.13309152966278,4.670543418739184
487,12,6,6,-74.11920095301487,4.577810627771695
488,12,4,3,-74.12745273730458,4.581688686942877
489,12,5,4,-74.12745631665713,4.725863880719036
490,12,6,10,-74.16983938890988,4.676500720907837
491,12,3,1,-74.0890759147054,4.544406987384784
492,12,8,3,-74.12392584040708,4.707120664105704
493,12,8,8,-74.08858737461497,4.647902030273097
494,12,5,10,-74.11547858863234,4.73219960300159
495,12,1,4,-74.10151193098751,4.698867686022251
496,12,7,6,-74.13054851599,4.614982016864207
497,12,7,10,-74.0841250083109,4.722068452414501
498,9,7,9,-74.109725657837,4.5313291631883805
499,12,1,6,-74.03819227459543,4.790351345189109
500,12,4,7,-74.03930208407151,4.74102479475844
501,12,3,2,-74.15500096796774,4.624970938177264
502,12,9,8,-74.13378127793611,4.6684902457712525
503,12,8,4,-74.15451052960597,4.641191441145423
504,12,10,1,-74.0278267881767,4.722245222926883
505,12,4,7,-74.10555062691729,4.648448269197995
506,12,7,6,-74.13428563502022,4.616253905470077
507,12,2,10,-74.06576159830847,4.665973652896735
508,12,4,9,-74.08090319516744,4.685625643322522
509,8,7,8,-74.11958541756104,4.541745545876225
510,12,9,8,-74.12501382987288,4.5900596158460925
511,12,4,7,-74.05159054301491,4.689849890554237
512,6,6,10,-74.08946884687275,4.576986828894882
513,10,3,10,-74.1418022553855,4.55960302820483
514,12,2,1,-74.03517240295778,4.800307028219502
515,12,4,2,-74.13856132448632,4.654522350685741
516,12,5,2,-74.09674714770937,4.592715848765293
517,12,6,10,-74.03273511683366,4.757551354251352
518,12,8,10,-74.0770559502736,4.590132555366581
519,12,2,4,-74.0598425403219,4.706670418895775
520,12,5,1,-74.11612470537904,4.720349212990543
521,12,8,10,-74.08187361771446,4.698216634034176
522,12,10,5,-74.07271318081987,4.717577721359326
523,12,7,10,-74.09546325126689,4.7743205922107625
524,12,2,7,-74.06669820822805,4.644775405665697
525,12,7,10,-74.08684031810087,4.689230857311006
526,12,4,2,-74.11851530969754,4.592853899432519
527,12,5,10,-74.08760947329635,4.527823656318887
528,7,6,10,-74.05323025295566,4.755505827277744
529,10,6,10,-74.12881251285965,4.59708999744217
530,12,10,7,-74.09684280888726,4.570223554486735
531,12,9,1,-74.14534428568946,4.711258697102304
532,12,2,7,-74.1328035395327,4.607550456062659
533,12,2,6,-74.10330107654134,4.757747968843251
534,12,3,6,-74.09903781912199,4.737015501433473
535,12,6,7,-74.11692066688599,4.699851358052284
536,12,4,6,-74.12026056757189,4.678382524718258
537,12,2,3,-74.09503085181709,4.6228833356592895
538,9,4,1,-74.07974481979458,4.642581882340055
539,12,9,9,-74.09335318665708,4.646099563675932
540,12,9,10,-74.10835874128414,4.696655177319895
541,12,1,3,-74.10796705199122,4.550906197026314
542,12,4,10,-74.0629730359535,4.738838037596607
543,12,2,3,-74.11769711496886,4.582157346589489
544,12,7,2,-74.12430076642615,4.577041689503473
545,12,7,4,-74.04581257744282,4.727015689053653
546,11,7,4,-74.1295593572767,4.7247740414678265
547,12,5,3,-74.06677116144958,4.6685491872502585
548,12,6,10,-74.13938218868903,4.710943107741533
549,12,6,1,-74.11831347902063,4.553944200322041
550,12,2,2,-74.10397158744149,4.603142618240388
551,11,5,10,-74.11204736351365,4.604761605419014
552,12,4,7,-74.06628568080671,4.623006504551397
553,12,6,1,-74.06674851134787,4.597025283239348
554,12,3,6,-74.0774657612569,4.614658506129206
555,12,2,2,-74.11792716616553,4.5049525733406455
